n_interacao,rss
394,99.396946
395,99.383714
396,99.370485
397,99.357258
398,99.344033
399,99.330812
400,99.317592
401,99.304375
402,99.291161
403,99.277949
404,99.26474
405,99.251533
406,99.238329
407,99.225127
408,99.211927
409,99.198731
410,99.185536
411,99.172345
412,99.159155
413,99.145969
414,99.132784
415,99.119603
416,99.106423
417,99.093247
418,99.080072
419,99.066901
420,99.053732
421,99.040565
422,99.027401
423,99.014239
424,99.00108
425,98.987923
426,98.974769
427,98.961617
428,98.948468
429,98.935321
430,98.922177
431,98.909036
432,98.895896
433,98.88276
434,98.869626
435,98.856494
436,98.843365
437,98.830238
438,98.817114
439,98.803992
440,98.790873
441,98.777756
442,98.764642
443,98.75153
444,98.738421
445,98.725314
446,98.71221
447,98.699108
448,98.686009
449,98.672912
450,98.659818
451,98.646726
452,98.633637
453,98.62055
454,98.607466
455,98.594384
456,98.581305
457,98.568228
458,98.555154
459,98.542082
460,98.529012
461,98.515946
462,98.502881
463,98.489819
464,98.47676
465,98.463703
466,98.450648
467,98.437596
468,98.424547
469,98.4115
470,98.398455
471,98.385413
472,98.372374
473,98.359337
474,98.346302
475,98.33327
476,98.32024
477,98.307213
478,98.294188
479,98.281166
480,98.268146
481,98.255129
482,98.242114
483,98.229102
484,98.216092
485,98.203085
486,98.19008
487,98.177077
488,98.164077
489,98.15108
490,98.138085
491,98.125092
492,98.112102
493,98.099115
494,98.08613
495,98.073147
496,98.060167
497,98.047189
498,98.034214
499,98.021241
500,98.008271
501,97.995303
502,97.982337
503,97.969374
504,97.956414
505,97.943456
506,97.930501
507,97.917547
508,97.904597
509,97.891649
510,97.878703
511,97.86576
512,97.852819
513,97.839881
514,97.826945
515,97.814012
516,97.801081
517,97.788152
518,97.775226
519,97.762303
520,97.749382
521,97.736463
522,97.723547
523,97.710633
524,97.697722
525,97.684813
526,97.671907
527,97.659003
528,97.646102
529,97.633203
530,97.620306
531,97.607412
532,97.594521
533,97.581631
534,97.568745
535,97.55586
536,97.542979
537,97.530099
538,97.517222
539,97.504348
540,97.491476
541,97.478606
542,97.465739
543,97.452875
544,97.440012
545,97.427153
546,97.414295
547,97.401441
548,97.388588
549,97.375738
550,97.362891
551,97.350045
552,97.337203
553,97.324363
554,97.311525
555,97.29869
556,97.285857
557,97.273026
558,97.260198
559,97.247373
560,97.23455
561,97.221729
562,97.208911
563,97.196095
564,97.183281
565,97.17047
566,97.157662
567,97.144856
568,97.132052
569,97.119251
570,97.106452
571,97.093656
572,97.080862
573,97.068071
574,97.055282
575,97.042495
576,97.029711
577,97.016929
578,97.00415
579,96.991373
580,96.978599
581,96.965827
582,96.953057
583,96.94029
584,96.927525
585,96.914763
586,96.902003
587,96.889246
588,96.876491
589,96.863738
590,96.850988
591,96.83824
592,96.825495
593,96.812752
594,96.800011
595,96.787273
596,96.774538
597,96.761805
598,96.749074
599,96.736346
600,96.72362
601,96.710896
602,96.698175
603,96.685456
604,96.67274
605,96.660026
606,96.647315
607,96.634606
608,96.621899
609,96.609195
610,96.596493
611,96.583794
612,96.571097
613,96.558403
614,96.545711
615,96.533021
616,96.520334
617,96.507649
618,96.494966
619,96.482286
620,96.469609
621,96.456934
622,96.444261
623,96.43159
624,96.418923
625,96.406257
626,96.393594
627,96.380933
628,96.368275
629,96.355619
630,96.342965
631,96.330314
632,96.317666
633,96.305019
634,96.292375
635,96.279734
636,96.267095
637,96.254458
638,96.241824
639,96.229192
640,96.216563
641,96.203935
642,96.191311
643,96.178689
644,96.166069
645,96.153451
646,96.140836
647,96.128224
648,96.115613
649,96.103005
650,96.0904
651,96.077797
652,96.065196
653,96.052598
654,96.040002
655,96.027409
656,96.014818
657,96.002229
658,95.989643
659,95.977059
660,95.964477
661,95.951898
662,95.939321
663,95.926747
664,95.914175
665,95.901605
666,95.889038
667,95.876474
668,95.863911
669,95.851351
670,95.838794
671,95.826238
672,95.813686
673,95.801135
674,95.788587
675,95.776041
676,95.763498
677,95.750957
678,95.738419
679,95.725883
680,95.713349
681,95.700818
682,95.688289
683,95.675762
684,95.663238
685,95.650716
686,95.638197
687,95.62568
688,95.613165
689,95.600653
690,95.588143
691,95.575635
692,95.56313
693,95.550627
694,95.538127
695,95.525629
696,95.513133
697,95.50064
698,95.488149
699,95.47566
700,95.463174
701,95.450691
702,95.438209
703,95.42573
704,95.413253
705,95.400779
706,95.388307
707,95.375838
708,95.363371
709,95.350906
710,95.338443
711,95.325983
712,95.313526
713,95.30107
714,95.288617
715,95.276167
716,95.263719
717,95.251273
718,95.238829
719,95.226388
720,95.21395
721,95.201513
722,95.189079
723,95.176648
724,95.164218
725,95.151791
726,95.139367
727,95.126945
728,95.114525
729,95.102107
730,95.089692
731,95.07728
732,95.064869
733,95.052461
734,95.040056
735,95.027652
736,95.015251
737,95.002853
738,94.990457
739,94.978063
740,94.965671
741,94.953282
742,94.940895
743,94.928511
744,94.916129
745,94.903749
746,94.891372
747,94.878997
748,94.866624
749,94.854254
750,94.841886
751,94.82952
752,94.817157
753,94.804796
754,94.792438
755,94.780081
756,94.767728
757,94.755376
758,94.743027
759,94.73068
760,94.718336
761,94.705994
762,94.693654
763,94.681316
764,94.668981
765,94.656649
766,94.644318
767,94.63199
768,94.619665
769,94.607341
770,94.59502
771,94.582702
772,94.570385
773,94.558071
774,94.54576
775,94.533451
776,94.521144
777,94.508839
778,94.496537
779,94.484237
780,94.471939
781,94.459644
782,94.447351
783,94.435061
784,94.422772
785,94.410487
786,94.398203
787,94.385922
788,94.373643
789,94.361366
790,94.349092
791,94.33682
792,94.324551
793,94.312284
794,94.300019
795,94.287756
796,94.275496
797,94.263238
798,94.250983
799,94.238729
800,94.226478
801,94.21423
802,94.201984
803,94.18974
804,94.177498
805,94.165259
806,94.153022
807,94.140788
808,94.128555
809,94.116325
810,94.104098
811,94.091873
812,94.07965
813,94.067429
814,94.055211
815,94.042995
816,94.030781
817,94.01857
818,94.006361
819,93.994154
820,93.98195
821,93.969748
822,93.957548
823,93.945351
824,93.933156
825,93.920963
826,93.908772
827,93.896584
828,93.884398
829,93.872215
830,93.860034
831,93.847855
832,93.835678
833,93.823504
834,93.811332
835,93.799163
836,93.786995
837,93.774831
838,93.762668
839,93.750508
840,93.73835
841,93.726194
842,93.71404
843,93.701889
844,93.689741
845,93.677594
846,93.66545
847,93.653308
848,93.641169
849,93.629031
850,93.616897
851,93.604764
852,93.592634
853,93.580506
854,93.56838
855,93.556257
856,93.544136
857,93.532017
858,93.5199
859,93.507786
860,93.495674
861,93.483565
862,93.471458
863,93.459353
864,93.44725
865,93.43515
866,93.423052
867,93.410956
868,93.398862
869,93.386771
870,93.374682
871,93.362596
872,93.350512
873,93.33843
874,93.32635
875,93.314273
876,93.302198
877,93.290125
878,93.278055
879,93.265986
880,93.253921
881,93.241857
882,93.229796
883,93.217737
884,93.20568
885,93.193626
886,93.181574
887,93.169524
888,93.157476
889,93.145431
890,93.133388
891,93.121348
892,93.109309
893,93.097273
894,93.085239
895,93.073208
896,93.061179
897,93.049152
898,93.037127
899,93.025105
900,93.013085
901,93.001067
902,92.989052
903,92.977038
904,92.965027
905,92.953019
906,92.941013
907,92.929008
908,92.917007
909,92.905007
910,92.89301
911,92.881015
912,92.869023
913,92.857032
914,92.845044
915,92.833058
916,92.821075
917,92.809094
918,92.797115
919,92.785138
920,92.773164
921,92.761191
922,92.749222
923,92.737254
924,92.725289
925,92.713326
926,92.701365
927,92.689406
928,92.67745
929,92.665496
930,92.653545
931,92.641595
932,92.629648
933,92.617703
934,92.605761
935,92.593821
936,92.581883
937,92.569947
938,92.558013
939,92.546082
940,92.534153
941,92.522227
942,92.510302
943,92.49838
944,92.48646
945,92.474543
946,92.462627
947,92.450714
948,92.438803
949,92.426895
950,92.414989
951,92.403085
952,92.391183
953,92.379283
954,92.367386
955,92.355491
956,92.343599
957,92.331708
958,92.31982
959,92.307934
960,92.296051
961,92.284169
962,92.27229
963,92.260413
964,92.248539
965,92.236666
966,92.224796
967,92.212928
968,92.201063
969,92.1892
970,92.177338
971,92.16548
972,92.153623
973,92.141769
974,92.129917
975,92.118067
976,92.10622
977,92.094374
978,92.082531
979,92.07069
980,92.058852
981,92.047016
982,92.035182
983,92.02335
984,92.01152
985,91.999693
986,91.987868
987,91.976045
988,91.964225
989,91.952407
990,91.940591
991,91.928777
992,91.916965
993,91.905156
994,91.893349
995,91.881544
996,91.869742
997,91.857941
998,91.846143
999,91.834348
1000,91.822554
